seed,sigma,loss,epsilon,health,bal_acc,macro_f1
6,4.0,balanced_softmax,0.6884773921257147,0.5751257527904334,0.6435925999936237,0.6062851702083123
6,8.0,balanced_softmax,0.3238927928737457,0.556751191489748,0.5978158703157166,0.5579762152174443
7,0.5,balanced_softmax,31.410917366067462,0.615260018395721,0.7183965295995701,0.6806849580122335
7,0.0,balanced_softmax,,0.6338218384380002,0.7313085535424751,0.6894383720219336
7,0.0,ce,,0.5729773798522033,0.7132369434424587,0.7191994756423785
7,1.0,balanced_softmax,4.3700538328001395,0.5918468390760717,0.7060315414867647,0.6699172730734552
7,1.0,ce,4.3700538328001395,0.5225396768745046,0.6754958833187591,0.6820944608679963
7,2.0,balanced_softmax,1.5564007857753206,0.578189782944175,0.6775761423776211,0.6386189072924698
7,4.0,balanced_softmax,0.6910224771003589,0.5736754511942153,0.6382367441839282,0.5999721985015541
7,8.0,balanced_softmax,0.32506397810152254,0.5422495615271573,0.5956043852817401,0.560883204311899
8,0.5,balanced_softmax,31.197477055189378,0.6204695697809732,0.7246091259268367,0.6787212956758953
8,0.0,balanced_softmax,,0.6416520631443098,0.7240291412754368,0.6809366489798071
8,0.0,ce,,0.5802653910079679,0.70254423254723,0.7099055569256381
8,1.0,balanced_softmax,4.335323103977717,0.6102501774541242,0.6971979126814961,0.6490413340842132
8,1.0,ce,4.335323103977717,0.5439087789321481,0.6711149710335027,0.6783309138779633
8,2.0,balanced_softmax,1.5446930542605297,0.6054999698596458,0.6714167765435136,0.6216720855785421
8,4.0,balanced_softmax,0.6859590945631923,0.5840909893597293,0.637725646053087,0.5979134671035305
8,8.0,balanced_softmax,0.32273386278058364,0.5665607590089156,0.5915579426727514,0.558306671096512
9,0.5,balanced_softmax,31.303669169923868,0.6270106643147706,0.7038900104297608,0.660575539338229
9,0.0,balanced_softmax,,0.6421034710371022,0.7322366001484761,0.690581619735679
9,0.0,ce,,0.5783858760614567,0.7034525667914595,0.7127712370311348
